query_id,tile_id,tile_size_m,source_tif,image_path,center_x,center_y,min_x,min_y,max_x,max_y,intersects_truth_radius,distance_point_to_tile_m,distance_tile_center_to_query_m,contains_query_point
q_001,s80_x253478.902_y3365269.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253478.902_y3365269.458.png,253478.9018066581,3365269.4584696507,253438.9018066581,3365229.4584696507,253518.9018066581,3365309.4584696507,1,42.862,88.153,0
q_001,s80_x253478.902_y3365329.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253478.902_y3365329.458.png,253478.9018066581,3365329.4584696507,253438.9018066581,3365289.4584696507,253518.9018066581,3365369.4584696507,1,0.000,37.783,1
q_001,s80_x253478.902_y3365389.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253478.902_y3365389.458.png,253478.9018066581,3365389.4584696507,253438.9018066581,3365349.4584696507,253518.9018066581,3365429.4584696507,1,0.000,47.793,1
q_001,s80_x253538.902_y3365269.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253538.902_y3365269.458.png,253538.9018066581,3365269.4584696507,253498.9018066581,3365229.4584696507,253578.9018066581,3365309.4584696507,1,42.862,88.097,0
q_001,s80_x253538.902_y3365329.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253538.902_y3365329.458.png,253538.9018066581,3365329.4584696507,253498.9018066581,3365289.4584696507,253578.9018066581,3365369.4584696507,1,0.000,37.653,1
q_001,s80_x253538.902_y3365389.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253538.902_y3365389.458.png,253538.9018066581,3365389.4584696507,253498.9018066581,3365349.4584696507,253578.9018066581,3365429.4584696507,1,0.000,47.690,1
q_001,s80_x253598.902_y3365329.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253598.902_y3365329.458.png,253598.9018066581,3365329.4584696507,253558.9018066581,3365289.4584696507,253638.9018066581,3365369.4584696507,1,49.918,92.779,0
q_001,s80_x253598.902_y3365389.458,80.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s80_x253598.902_y3365389.458.png,253598.9018066581,3365389.4584696507,253558.9018066581,3365349.4584696507,253638.9018066581,3365429.4584696507,1,49.918,97.286,0
q_001,s120_x253438.902_y3365289.458,120.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s120_x253438.902_y3365289.458.png,253438.9018066581,3365289.4584696507,253378.9018066581,3365229.4584696507,253498.9018066581,3365349.4584696507,1,10.480,94.144,0
q_001,s120_x253438.902_y3365379.458,120.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s120_x253438.902_y3365379.458.png,253438.9018066581,3365379.4584696507,253378.9018066581,3365319.4584696507,253498.9018066581,3365439.4584696507,1,10.082,75.153,0
q_001,s120_x253528.902_y3365289.458,120.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s120_x253528.902_y3365289.458.png,253528.9018066581,3365289.4584696507,253468.9018066581,3365229.4584696507,253588.9018066581,3365349.4584696507,1,2.862,65.942,0
q_001,s120_x253528.902_y3365379.458,120.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s120_x253528.902_y3365379.458.png,253528.9018066581,3365379.4584696507,253468.9018066581,3365319.4584696507,253588.9018066581,3365439.4584696507,1,0.000,33.663,1
q_001,s120_x253618.902_y3365289.458,120.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s120_x253618.902_y3365289.458.png,253618.9018066581,3365289.4584696507,253558.9018066581,3365229.4584696507,253678.9018066581,3365349.4584696507,1,50.000,126.623,0
q_001,s120_x253618.902_y3365379.458,120.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s120_x253618.902_y3365379.458.png,253618.9018066581,3365379.4584696507,253558.9018066581,3365319.4584696507,253678.9018066581,3365439.4584696507,1,49.918,113.218,0
q_001,s200_x253418.902_y3365299.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s200_x253418.902_y3365299.458.png,253418.9018066581,3365299.4584696507,253318.9018066581,3365199.4584696507,253518.9018066581,3365399.4584696507,1,0.000,104.447,1
q_001,s200_x253418.902_y3365449.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale/tiles_native/s200_x253418.902_y3365449.458.png,253418.9018066581,3365449.4584696507,253318.9018066581,3365349.4584696507,253518.9018066581,3365549.4584696507,1,0.000,132.479,1
