query_id,flight_id,image_path,truth_tile_ids,center_x,center_y
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,s200_x253418.902_y3365149.458|s200_x253568.902_y3365149.458|s200_x253568.902_y3365299.458|s300_x253393.902_y3365199.458|s300_x253618.902_y3365199.458|s500_x253268.902_y3365299.458|s500_x253643.902_y3365299.458|s700_x253368.902_y3365399.458|s700_x253893.902_y3365399.458|s200_x253646.869_y3365137.480|s200_x253646.869_y3365287.480|s200_x253796.869_y3365137.480|s200_x253796.869_y3365287.480|s200_x253946.869_y3365137.480|s300_x253696.869_y3365187.480|s300_x253696.869_y3365412.480|s300_x253921.869_y3365187.480|s500_x253796.869_y3365287.480|s500_x254171.869_y3365287.480|s700_x253896.869_y3365387.480|s200_x253405.070_y3364840.419|s200_x253405.070_y3364990.419|s200_x253405.070_y3365140.419|s200_x253555.070_y3364540.419|s200_x253555.070_y3364690.419|s200_x253555.070_y3364840.419|s200_x253555.070_y3364990.419|s200_x253555.070_y3365140.419|s300_x253380.070_y3364815.419|s300_x253380.070_y3365040.419|s300_x253605.070_y3364590.419|s300_x253605.070_y3364815.419|s300_x253605.070_y3365040.419|s500_x253255.070_y3364690.419|s500_x253255.070_y3365065.419|s500_x253630.070_y3364690.419|s500_x253630.070_y3365065.419|s700_x253355.070_y3364790.419|s700_x253355.070_y3365315.419|s700_x253880.070_y3364790.419|s700_x253880.070_y3365315.419|s200_x253633.067_y3364528.442|s200_x253633.067_y3364678.442|s200_x253633.067_y3364828.442|s200_x253633.067_y3364978.442|s200_x253633.067_y3365128.442|s200_x253783.067_y3364528.442|s200_x253783.067_y3364678.442|s200_x253783.067_y3364828.442|s200_x253783.067_y3364978.442|s200_x253783.067_y3365128.442|s200_x253933.067_y3364678.442|s200_x253933.067_y3364828.442|s200_x253933.067_y3364978.442|s200_x253933.067_y3365128.442|s200_x254083.067_y3364828.442|s200_x254083.067_y3364978.442|s200_x254083.067_y3365128.442|s300_x253683.067_y3364578.442|s300_x253683.067_y3364803.442|s300_x253683.067_y3365028.442|s300_x253908.067_y3364578.442|s300_x253908.067_y3364803.442|s300_x253908.067_y3365028.442|s300_x254133.067_y3364803.442|s300_x254133.067_y3365028.442|s500_x253783.067_y3364678.442|s500_x253783.067_y3365053.442|s500_x254158.067_y3364678.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253883.067_y3365303.442|s700_x254408.067_y3364778.442|s700_x254408.067_y3365303.442|s200_x254161.063_y3364816.491|s200_x254161.063_y3364966.491|s300_x254211.063_y3364791.491|s300_x254211.063_y3365016.491|s500_x254311.063_y3364666.491|s500_x254311.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x254411.063_y3365291.491|s200_x253541.241_y3364531.380|s300_x253591.241_y3364431.380|s500_x253616.241_y3364456.380|s700_x253341.241_y3364706.380|s700_x253866.241_y3364706.380|s200_x253619.267_y3364519.404|s200_x253769.267_y3364519.404|s300_x253669.267_y3364419.404|s500_x253769.267_y3364444.404|s700_x253869.267_y3364694.404|s700_x254394.267_y3364694.404|s700_x254397.293_y3364682.454,253508.984,3365352.320
q_002,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,s300_x253618.902_y3365199.458|s500_x253643.902_y3365299.458|s700_x253368.902_y3365399.458|s700_x253893.902_y3365399.458|s200_x253646.869_y3365137.480|s200_x253796.869_y3365137.480|s200_x253946.869_y3365137.480|s300_x253696.869_y3365187.480|s300_x253921.869_y3365187.480|s500_x253796.869_y3365287.480|s700_x253896.869_y3365387.480|s200_x253555.070_y3364690.419|s200_x253555.070_y3364840.419|s200_x253555.070_y3364990.419|s300_x253605.070_y3364815.419|s300_x253605.070_y3365040.419|s500_x253630.070_y3364690.419|s500_x253630.070_y3365065.419|s700_x253355.070_y3364790.419|s700_x253355.070_y3365315.419|s700_x253880.070_y3364790.419|s700_x253880.070_y3365315.419|s200_x253633.067_y3364678.442|s200_x253633.067_y3364828.442|s200_x253633.067_y3364978.442|s200_x253633.067_y3365128.442|s200_x253783.067_y3364828.442|s200_x253783.067_y3364978.442|s200_x253783.067_y3365128.442|s200_x253933.067_y3364828.442|s200_x253933.067_y3364978.442|s200_x253933.067_y3365128.442|s300_x253683.067_y3364803.442|s300_x253683.067_y3365028.442|s300_x253908.067_y3364803.442|s300_x253908.067_y3365028.442|s500_x253783.067_y3364678.442|s500_x253783.067_y3365053.442|s500_x254158.067_y3364678.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253883.067_y3365303.442|s700_x253341.241_y3364706.380|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404,253726.527,3364940.577
q_003,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,s700_x253866.241_y3364181.380|s200_x253919.267_y3363919.404|s200_x254069.267_y3363919.404|s200_x254069.267_y3364069.404|s300_x253894.267_y3363969.404|s300_x254119.267_y3363969.404|s300_x254119.267_y3364194.404|s500_x253769.267_y3364069.404|s500_x254144.267_y3364069.404|s700_x253869.267_y3364169.404|s700_x254394.267_y3364169.404|s200_x254147.293_y3363907.454|s200_x254147.293_y3364057.454|s200_x254297.293_y3363907.454|s200_x254297.293_y3364057.454|s200_x254297.293_y3364207.454|s200_x254447.293_y3363907.454|s200_x254447.293_y3364057.454|s200_x254447.293_y3364207.454|s200_x254597.293_y3363907.454|s200_x254597.293_y3364057.454|s300_x254197.293_y3363957.454|s300_x254197.293_y3364182.454|s300_x254422.293_y3363957.454|s300_x254422.293_y3364182.454|s300_x254647.293_y3363957.454|s300_x254647.293_y3364182.454|s500_x254297.293_y3364057.454|s500_x254297.293_y3364432.454|s500_x254672.293_y3364057.454|s500_x254672.293_y3364432.454|s700_x254397.293_y3364157.454|s700_x253852.414_y3363572.341|s700_x253852.414_y3364097.341|s200_x253905.470_y3363760.367|s200_x253905.470_y3363910.367|s200_x254055.470_y3363610.367|s200_x254055.470_y3363760.367|s200_x254055.470_y3363910.367|s300_x253880.470_y3363810.367|s300_x254105.470_y3363585.367|s300_x254105.470_y3363810.367|s500_x253755.470_y3363835.367|s500_x254130.470_y3363460.367|s500_x254130.470_y3363835.367|s700_x253855.470_y3363560.367|s700_x253855.470_y3364085.367|s700_x254380.470_y3363560.367|s700_x254380.470_y3364085.367|s200_x254133.525_y3363598.418|s200_x254133.525_y3363748.418|s200_x254133.525_y3363898.418|s200_x254283.525_y3363448.418|s200_x254283.525_y3363598.418|s200_x254283.525_y3363748.418|s200_x254283.525_y3363898.418|s200_x254433.525_y3363448.418|s200_x254433.525_y3363598.418|s200_x254433.525_y3363748.418|s200_x254433.525_y3363898.418|s200_x254583.525_y3363598.418|s200_x254583.525_y3363748.418|s200_x254583.525_y3363898.418|s300_x254183.525_y3363573.418|s300_x254183.525_y3363798.418|s300_x254408.525_y3363573.418|s300_x254408.525_y3363798.418|s300_x254633.525_y3363573.418|s300_x254633.525_y3363798.418|s500_x254283.525_y3363448.418|s500_x254283.525_y3363823.418|s500_x254658.525_y3363448.418|s500_x254658.525_y3363823.418|s700_x254383.525_y3363548.418|s700_x254383.525_y3364073.418|s700_x254908.525_y3363548.418|s700_x254908.525_y3364073.418|s200_x254661.579_y3363586.495|s200_x254661.579_y3363736.495|s300_x254711.579_y3363561.495|s300_x254711.579_y3363786.495|s500_x254811.579_y3363436.495|s500_x254811.579_y3363811.495|s700_x254911.579_y3363536.495|s700_x254911.579_y3364061.495|s700_x253838.589_y3363488.302|s700_x253841.675_y3363476.329|s700_x254366.675_y3363476.329|s700_x254369.759_y3363464.382|s700_x254894.759_y3363464.382|s700_x254897.843_y3363452.460,254524.168,3363429.313
q_004,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135820_0137_V.JPG,s700_x253880.070_y3364790.419|s200_x253933.067_y3364528.442|s200_x253933.067_y3364678.442|s200_x254083.067_y3364528.442|s200_x254083.067_y3364678.442|s200_x254083.067_y3364828.442|s300_x253908.067_y3364578.442|s300_x253908.067_y3364803.442|s300_x254133.067_y3364578.442|s300_x254133.067_y3364803.442|s500_x253783.067_y3364678.442|s500_x254158.067_y3364678.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x254408.067_y3364778.442|s200_x254161.063_y3364516.491|s200_x254161.063_y3364666.491|s200_x254161.063_y3364816.491|s200_x254311.063_y3364516.491|s200_x254311.063_y3364666.491|s200_x254311.063_y3364816.491|s300_x254211.063_y3364566.491|s300_x254211.063_y3364791.491|s300_x254436.063_y3364566.491|s300_x254436.063_y3364791.491|s500_x254311.063_y3364666.491|s500_x254311.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x253866.241_y3364181.380|s700_x253866.241_y3364706.380|s200_x253919.267_y3364519.404|s200_x254069.267_y3364369.404|s200_x254069.267_y3364519.404|s300_x253894.267_y3364419.404|s300_x254119.267_y3364419.404|s500_x253769.267_y3364444.404|s500_x254144.267_y3364444.404|s700_x253869.267_y3364169.404|s700_x253869.267_y3364694.404|s700_x254394.267_y3364169.404|s700_x254394.267_y3364694.404|s200_x254147.293_y3364357.454|s200_x254147.293_y3364507.454|s200_x254297.293_y3364507.454|s300_x254197.293_y3364407.454|s500_x254297.293_y3364432.454|s700_x254397.293_y3364157.454|s700_x254397.293_y3364682.454,254126.101,3364636.042
q_005,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135821_0139_V.JPG,s200_x253418.902_y3365149.458|s200_x253568.902_y3365149.458|s300_x253393.902_y3365199.458|s300_x253618.902_y3365199.458|s500_x253268.902_y3365299.458|s500_x253643.902_y3365299.458|s700_x253368.902_y3365399.458|s700_x253893.902_y3365399.458|s200_x253646.869_y3365137.480|s200_x253646.869_y3365287.480|s200_x253796.869_y3365137.480|s200_x253796.869_y3365287.480|s200_x253946.869_y3365137.480|s200_x253946.869_y3365287.480|s200_x253946.869_y3365437.480|s200_x254096.869_y3365137.480|s200_x254096.869_y3365287.480|s200_x254096.869_y3365437.480|s300_x253696.869_y3365187.480|s300_x253696.869_y3365412.480|s300_x253921.869_y3365187.480|s300_x253921.869_y3365412.480|s300_x254146.869_y3365187.480|s300_x254146.869_y3365412.480|s500_x253796.869_y3365287.480|s500_x254171.869_y3365287.480|s700_x253896.869_y3365387.480|s700_x254421.869_y3365387.480|s200_x254174.835_y3365125.528|s200_x254174.835_y3365275.528|s200_x254174.835_y3365425.528|s300_x254224.835_y3365175.528|s300_x254224.835_y3365400.528|s500_x254324.835_y3365275.528|s700_x254424.835_y3365375.528|s200_x253405.070_y3364990.419|s200_x253405.070_y3365140.419|s200_x253555.070_y3364840.419|s200_x253555.070_y3364990.419|s200_x253555.070_y3365140.419|s300_x253380.070_y3365040.419|s300_x253605.070_y3364815.419|s300_x253605.070_y3365040.419|s500_x253255.070_y3365065.419|s500_x253630.070_y3364690.419|s500_x253630.070_y3365065.419|s700_x253355.070_y3364790.419|s700_x253355.070_y3365315.419|s700_x253880.070_y3364790.419|s700_x253880.070_y3365315.419|s200_x253633.067_y3364828.442|s200_x253633.067_y3364978.442|s200_x253633.067_y3365128.442|s200_x253783.067_y3364678.442|s200_x253783.067_y3364828.442|s200_x253783.067_y3364978.442|s200_x253783.067_y3365128.442|s200_x253933.067_y3364678.442|s200_x253933.067_y3364828.442|s200_x253933.067_y3364978.442|s200_x253933.067_y3365128.442|s200_x254083.067_y3364678.442|s200_x254083.067_y3364828.442|s200_x254083.067_y3364978.442|s200_x254083.067_y3365128.442|s300_x253683.067_y3364803.442|s300_x253683.067_y3365028.442|s300_x253908.067_y3364578.442|s300_x253908.067_y3364803.442|s300_x253908.067_y3365028.442|s300_x254133.067_y3364803.442|s300_x254133.067_y3365028.442|s500_x253783.067_y3364678.442|s500_x253783.067_y3365053.442|s500_x254158.067_y3364678.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253883.067_y3365303.442|s700_x254408.067_y3364778.442|s700_x254408.067_y3365303.442|s200_x254161.063_y3364816.491|s200_x254161.063_y3364966.491|s200_x254161.063_y3365116.491|s300_x254211.063_y3364791.491|s300_x254211.063_y3365016.491|s500_x254311.063_y3364666.491|s500_x254311.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x254411.063_y3365291.491|s700_x253341.241_y3364706.380|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404|s700_x254394.267_y3364694.404|s700_x254397.293_y3364682.454,254138.099,3364613.284
q_006,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031140416_0270_V.JPG,s700_x254408.067_y3364778.442|s200_x254461.063_y3364516.491|s200_x254611.063_y3364516.491|s300_x254436.063_y3364566.491|s300_x254661.063_y3364566.491|s500_x254311.063_y3364666.491|s500_x254686.063_y3364666.491|s700_x254411.063_y3364766.491|s700_x254936.063_y3364766.491|s200_x254689.058_y3364504.565|s300_x254739.058_y3364554.565|s500_x254839.058_y3364654.565|s700_x254939.058_y3364754.565|s500_x254144.267_y3364069.404|s500_x254144.267_y3364444.404|s700_x254394.267_y3364169.404|s700_x254394.267_y3364694.404|s200_x254297.293_y3364207.454|s200_x254297.293_y3364357.454|s200_x254447.293_y3364057.454|s200_x254447.293_y3364207.454|s200_x254447.293_y3364357.454|s200_x254447.293_y3364507.454|s200_x254597.293_y3364057.454|s200_x254597.293_y3364207.454|s200_x254597.293_y3364357.454|s200_x254597.293_y3364507.454|s300_x254197.293_y3364182.454|s300_x254197.293_y3364407.454|s300_x254422.293_y3364182.454|s300_x254422.293_y3364407.454|s300_x254647.293_y3364182.454|s300_x254647.293_y3364407.454|s500_x254297.293_y3364057.454|s500_x254297.293_y3364432.454|s500_x254672.293_y3364057.454|s500_x254672.293_y3364432.454|s700_x254397.293_y3364157.454|s700_x254397.293_y3364682.454|s700_x254922.293_y3364157.454|s700_x254922.293_y3364682.454|s200_x254675.317_y3364195.530|s200_x254675.317_y3364345.530|s200_x254675.317_y3364495.530|s200_x254825.317_y3364195.530|s200_x254825.317_y3364345.530|s300_x254725.317_y3364170.530|s300_x254725.317_y3364395.530|s500_x254825.317_y3364045.530|s500_x254825.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x254925.317_y3364670.530|s700_x254380.470_y3364085.367|s700_x254383.525_y3364073.418|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495,254538.917,3364306.562
q_007,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031140436_0280_V.JPG,s700_x253880.070_y3364790.419|s200_x254083.067_y3364528.442|s200_x254083.067_y3364678.442|s300_x253908.067_y3364578.442|s300_x254133.067_y3364578.442|s500_x254158.067_y3364678.442|s700_x253883.067_y3364778.442|s700_x254408.067_y3364778.442|s200_x254161.063_y3364516.491|s200_x254161.063_y3364666.491|s200_x254311.063_y3364516.491|s200_x254311.063_y3364666.491|s200_x254461.063_y3364516.491|s200_x254461.063_y3364666.491|s200_x254461.063_y3364816.491|s200_x254611.063_y3364516.491|s200_x254611.063_y3364666.491|s200_x254611.063_y3364816.491|s300_x254211.063_y3364566.491|s300_x254211.063_y3364791.491|s300_x254436.063_y3364566.491|s300_x254436.063_y3364791.491|s300_x254661.063_y3364566.491|s300_x254661.063_y3364791.491|s500_x254311.063_y3364666.491|s500_x254311.063_y3365041.491|s500_x254686.063_y3364666.491|s500_x254686.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x254936.063_y3364766.491|s200_x254689.058_y3364504.565|s200_x254689.058_y3364654.565|s200_x254689.058_y3364804.565|s300_x254739.058_y3364554.565|s300_x254739.058_y3364779.565|s500_x254839.058_y3364654.565|s500_x254839.058_y3365029.565|s700_x254939.058_y3364754.565|s700_x253866.241_y3364181.380|s700_x253866.241_y3364706.380|s200_x254069.267_y3364369.404|s200_x254069.267_y3364519.404|s300_x253894.267_y3364419.404|s300_x254119.267_y3364194.404|s300_x254119.267_y3364419.404|s500_x254144.267_y3364069.404|s500_x254144.267_y3364444.404|s700_x253869.267_y3364169.404|s700_x253869.267_y3364694.404|s700_x254394.267_y3364169.404|s700_x254394.267_y3364694.404|s200_x254147.293_y3364357.454|s200_x254147.293_y3364507.454|s200_x254297.293_y3364207.454|s200_x254297.293_y3364357.454|s200_x254297.293_y3364507.454|s200_x254447.293_y3364057.454|s200_x254447.293_y3364207.454|s200_x254447.293_y3364357.454|s200_x254447.293_y3364507.454|s200_x254597.293_y3364207.454|s200_x254597.293_y3364357.454|s200_x254597.293_y3364507.454|s300_x254197.293_y3364182.454|s300_x254197.293_y3364407.454|s300_x254422.293_y3364182.454|s300_x254422.293_y3364407.454|s300_x254647.293_y3364182.454|s300_x254647.293_y3364407.454|s500_x254297.293_y3364057.454|s500_x254297.293_y3364432.454|s500_x254672.293_y3364057.454|s500_x254672.293_y3364432.454|s700_x254397.293_y3364157.454|s700_x254397.293_y3364682.454|s700_x254922.293_y3364157.454|s700_x254922.293_y3364682.454|s200_x254675.317_y3364195.530|s200_x254675.317_y3364345.530|s200_x254675.317_y3364495.530|s200_x254825.317_y3364195.530|s200_x254825.317_y3364345.530|s300_x254725.317_y3364170.530|s300_x254725.317_y3364395.530|s500_x254825.317_y3364045.530|s500_x254825.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x254925.317_y3364670.530|s700_x253852.414_y3364097.341|s700_x253855.470_y3364085.367|s700_x254380.470_y3364085.367|s700_x254383.525_y3364073.418|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495,254677.995,3364043.018
q_008,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031140819_0350_V.JPG,s700_x253893.902_y3365399.458|s200_x254096.869_y3365137.480|s200_x254096.869_y3365287.480|s300_x254146.869_y3365187.480|s300_x254146.869_y3365412.480|s500_x254171.869_y3365287.480|s700_x253896.869_y3365387.480|s700_x254421.869_y3365387.480|s200_x254174.835_y3365125.528|s200_x254174.835_y3365275.528|s200_x254324.835_y3365125.528|s200_x254324.835_y3365275.528|s200_x254324.835_y3365425.528|s200_x254474.835_y3365125.528|s200_x254474.835_y3365275.528|s200_x254474.835_y3365425.528|s200_x254624.835_y3365125.528|s200_x254624.835_y3365275.528|s300_x254224.835_y3365175.528|s300_x254224.835_y3365400.528|s300_x254449.835_y3365175.528|s300_x254449.835_y3365400.528|s300_x254674.835_y3365175.528|s300_x254674.835_y3365400.528|s500_x254324.835_y3365275.528|s500_x254699.835_y3365275.528|s700_x254424.835_y3365375.528|s700_x254949.835_y3365375.528|s200_x254702.800_y3365113.601|s200_x254702.800_y3365263.601|s200_x254852.800_y3365113.601|s300_x254752.800_y3365163.601|s500_x254852.800_y3365263.601|s700_x254952.800_y3365363.601|s700_x253880.070_y3364790.419|s700_x253880.070_y3365315.419|s200_x254083.067_y3364828.442|s200_x254083.067_y3364978.442|s200_x254083.067_y3365128.442|s300_x254133.067_y3364578.442|s300_x254133.067_y3364803.442|s300_x254133.067_y3365028.442|s500_x254158.067_y3364678.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253883.067_y3365303.442|s700_x254408.067_y3364778.442|s700_x254408.067_y3365303.442|s200_x254161.063_y3364666.491|s200_x254161.063_y3364816.491|s200_x254161.063_y3364966.491|s200_x254161.063_y3365116.491|s200_x254311.063_y3364666.491|s200_x254311.063_y3364816.491|s200_x254311.063_y3364966.491|s200_x254311.063_y3365116.491|s200_x254461.063_y3364666.491|s200_x254461.063_y3364816.491|s200_x254461.063_y3364966.491|s200_x254461.063_y3365116.491|s200_x254611.063_y3364816.491|s200_x254611.063_y3364966.491|s200_x254611.063_y3365116.491|s300_x254211.063_y3364566.491|s300_x254211.063_y3364791.491|s300_x254211.063_y3365016.491|s300_x254436.063_y3364566.491|s300_x254436.063_y3364791.491|s300_x254436.063_y3365016.491|s300_x254661.063_y3364791.491|s300_x254661.063_y3365016.491|s500_x254311.063_y3364666.491|s500_x254311.063_y3365041.491|s500_x254686.063_y3364666.491|s500_x254686.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x254411.063_y3365291.491|s700_x254936.063_y3364766.491|s700_x254936.063_y3365291.491|s200_x254689.058_y3364804.565|s200_x254689.058_y3364954.565|s200_x254689.058_y3365104.565|s200_x254839.058_y3364954.565|s200_x254839.058_y3365104.565|s300_x254739.058_y3364779.565|s300_x254739.058_y3365004.565|s300_x254964.058_y3365004.565|s500_x254839.058_y3364654.565|s500_x254839.058_y3365029.565|s700_x254939.058_y3364754.565|s700_x254939.058_y3365279.565|s700_x253866.241_y3364706.380|s500_x254144.267_y3364444.404|s700_x253869.267_y3364694.404|s700_x254394.267_y3364694.404|s500_x254297.293_y3364432.454|s700_x254397.293_y3364682.454|s700_x254922.293_y3364682.454|s700_x254925.317_y3364670.530,254179.882,3365439.550
q_009,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031141120_0411_V.JPG,s700_x254408.067_y3364778.442|s200_x254461.063_y3364516.491|s200_x254461.063_y3364666.491|s200_x254611.063_y3364516.491|s200_x254611.063_y3364666.491|s300_x254436.063_y3364566.491|s300_x254661.063_y3364566.491|s300_x254661.063_y3364791.491|s500_x254311.063_y3364666.491|s500_x254686.063_y3364666.491|s700_x254411.063_y3364766.491|s700_x254936.063_y3364766.491|s200_x254689.058_y3364504.565|s200_x254689.058_y3364654.565|s200_x254839.058_y3364504.565|s200_x254839.058_y3364654.565|s200_x254839.058_y3364804.565|s200_x254989.058_y3364504.565|s200_x254989.058_y3364654.565|s200_x254989.058_y3364804.565|s200_x255139.058_y3364504.565|s200_x255139.058_y3364654.565|s300_x254739.058_y3364554.565|s300_x254739.058_y3364779.565|s300_x254964.058_y3364554.565|s300_x254964.058_y3364779.565|s300_x255189.058_y3364554.565|s500_x254839.058_y3364654.565|s500_x254839.058_y3365029.565|s500_x255214.058_y3364654.565|s500_x255214.058_y3365029.565|s700_x254939.058_y3364754.565|s700_x254394.267_y3364169.404|s700_x254394.267_y3364694.404|s200_x254447.293_y3364357.454|s200_x254447.293_y3364507.454|s200_x254597.293_y3364207.454|s200_x254597.293_y3364357.454|s200_x254597.293_y3364507.454|s300_x254422.293_y3364407.454|s300_x254647.293_y3364182.454|s300_x254647.293_y3364407.454|s500_x254297.293_y3364432.454|s500_x254672.293_y3364057.454|s500_x254672.293_y3364432.454|s700_x254397.293_y3364157.454|s700_x254397.293_y3364682.454|s700_x254922.293_y3364157.454|s700_x254922.293_y3364682.454|s200_x254675.317_y3364045.530|s200_x254675.317_y3364195.530|s200_x254675.317_y3364345.530|s200_x254675.317_y3364495.530|s200_x254825.317_y3364045.530|s200_x254825.317_y3364195.530|s200_x254825.317_y3364345.530|s200_x254825.317_y3364495.530|s200_x254975.317_y3364195.530|s200_x254975.317_y3364345.530|s200_x254975.317_y3364495.530|s200_x255125.317_y3364195.530|s200_x255125.317_y3364345.530|s200_x255125.317_y3364495.530|s300_x254725.317_y3364170.530|s300_x254725.317_y3364395.530|s300_x254950.317_y3364170.530|s300_x254950.317_y3364395.530|s300_x255175.317_y3364170.530|s300_x255175.317_y3364395.530|s500_x254825.317_y3364045.530|s500_x254825.317_y3364420.530|s500_x255200.317_y3364045.530|s500_x255200.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x254925.317_y3364670.530|s700_x255450.317_y3364145.530|s700_x254380.470_y3364085.367|s700_x254383.525_y3364073.418|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495|s700_x255436.579_y3364061.495|s700_x255439.632_y3364049.598,255046.770,3364023.024
q_010,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,s500_x254672.293_y3364057.454|s500_x254672.293_y3364432.454|s700_x254922.293_y3364157.454|s200_x254825.317_y3363895.530|s200_x254825.317_y3364045.530|s200_x254825.317_y3364195.530|s200_x254975.317_y3363895.530|s200_x254975.317_y3364045.530|s200_x254975.317_y3364195.530|s200_x254975.317_y3364345.530|s200_x255125.317_y3363895.530|s200_x255125.317_y3364045.530|s200_x255125.317_y3364195.530|s200_x255125.317_y3364345.530|s300_x254725.317_y3363945.530|s300_x254725.317_y3364170.530|s300_x254950.317_y3363945.530|s300_x254950.317_y3364170.530|s300_x254950.317_y3364395.530|s300_x255175.317_y3363945.530|s300_x255175.317_y3364170.530|s300_x255175.317_y3364395.530|s500_x254825.317_y3364045.530|s500_x254825.317_y3364420.530|s500_x255200.317_y3364045.530|s500_x255200.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x255450.317_y3364145.530|s200_x255203.340_y3364033.631|s200_x255203.340_y3364183.631|s200_x255203.340_y3364333.631|s300_x255253.340_y3363933.631|s300_x255253.340_y3364158.631|s300_x255253.340_y3364383.631|s500_x255353.340_y3364033.631|s500_x255353.340_y3364408.631|s700_x255453.340_y3364133.631|s500_x254658.525_y3363823.418|s700_x254908.525_y3364073.418|s200_x254811.579_y3363886.495|s200_x254961.579_y3363886.495|s200_x255111.579_y3363886.495|s300_x254936.579_y3363786.495|s500_x254811.579_y3363811.495|s500_x255186.579_y3363811.495|s700_x254911.579_y3364061.495|s700_x255436.579_y3364061.495|s500_x255339.632_y3363799.598|s700_x255439.632_y3364049.598,255007.953,3364096.456
